## Bipartite SEC Graphs: 3808 flags
204;5;0,0,0,0,1,2,1,2,1,0;1,1,3,2,0
205;5;0,0,0,0,1,2,1,2,1,0;1,1,3,2,2
206;5;0,0,0,0,1,2,1,2,1,0;1,3,1,0,0
207;5;0,0,0,0,1,2,1,2,1,0;1,3,1,0,2
208;5;0,0,0,0,1,2,1,2,1,0;1,3,1,2,0
209;5;0,0,0,0,1,2,1,2,1,0;1,3,1,2,2
210;5;0,0,0,0,1,2,1,2,1,0;1,3,3,0,0
211;5;0,0,0,0,1,2,1,2,1,0;1,3,3,0,2
212;5;0,0,0,0,1,2,1,2,1,0;1,3,3,2,0
213;5;0,0,0,0,1,2,1,2,1,0;1,3,3,2,2
214;5;0,0,0,0,1,2,1,2,1,0;2,0,0,1,1
215;5;0,0,0,0,1,2,1,2,1,0;2,0,0,1,3
216;5;0,0,0,0,1,2,1,2,1,0;2,0,0,3,1
217;5;0,0,0,0,1,2,1,2,1,0;2,0,0,3,3
218;5;0,0,0,0,1,2,1,2,1,0;2,0,2,1,1
219;5;0,0,0,0,1,2,1,2,1,0;2,0,2,1,3
220;5;0,0,0,0,1,2,1,2,1,0;2,0,2,3,1
221;5;0,0,0,0,1,2,1,2,1,0;2,0,2,3,3
222;5;0,0,0,0,1,2,1,2,1,0;2,2,0,1,1
223;5;0,0,0,0,1,2,1,2,1,0;2,2,0,1,3
224;5;0,0,0,0,1,2,1,2,1,0;2,2,0,3,1
225;5;0,0,0,0,1,2,1,2,1,0;2,2,0,3,3
226;5;0,0,0,0,1,2,1,2,1,0;2,2,2,1,1
227;5;0,0,0,0,1,2,1,2,1,0;2,2,2,1,3
228;5;0,0,0,0,1,2,1,2,1,0;2,2,2,3,1
229;5;0,0,0,0,1,2,1,2,1,0;3,1,1,0,0
230;5;0,0,0,0,1,2,1,2,1,0;3,1,1,0,2
231;5;0,0,0,0,1,2,1,2,1,0;3,1,1,2,0
232;5;0,0,0,0,1,2,1,2,1,0;3,1,1,2,2
233;5;0,0,0,0,1,2,1,2,1,0;3,1,3,0,0
234;5;0,0,0,0,1,2,1,2,1,0;3,1,3,0,2
235;5;0,0,0,0,1,2,1,2,1,0;3,1,3,2,0
236;5;0,0,0,0,1,2,1,2,1,0;3,1,3,2,2
237;5;0,0,0,0,1,2,1,2,1,0;3,3,1,0,0
238;5;0,0,0,0,1,2,1,2,1,0;3,3,1,0,2
239;5;0,0,0,0,1,2,1,2,1,0;3,3,1,2,0
240;5;0,0,0,0,1,2,1,2,1,0;3,3,1,2,2
241;5;0,0,0,0,1,2,1,2,1,0;3,3,3,0,0
242;5;0,0,0,0,1,2,1,2,1,0;3,3,3,0,2
243;5;0,0,0,0,1,2,1,2,1,0;3,3,3,2,0
244;5;0,0,0,0,1,2,2,2,1,0;0,0,0,1,1
